,userID,groupID,taskID,numCollinear,numNoncollinear,modelBuiltSoFar,isIncorrectAction,systemAction,userResponse,cumulativeCost,userResponseTime,taskElapsedTime
0,22,1,0,3,5,[5],False,Recommend: 5,include,0.05000000074505806,25.29875636100769,79.3379397392273
1,22,1,0,3,5,[5],False,Recommend: 6,exclude,0.10000000149011612,9.457657098770142,92.796639919281
2,22,1,0,3,5,[5],False,Recommend: 4,exclude,0.15000000596046448,50.564982414245605,147.1758234500885
3,22,1,0,3,5,[5],False,Recommend: 3,exclude,0.20000000298023224,25.309552431106567,176.2915484905243
4,22,1,0,3,5,"[4, 5]",False,Recommend: 4,include,0.25,62.09825587272644,242.397234916687
5,22,1,0,3,5,"[4, 5]",False,Tutor,exclude,0.75,167.14809727668762,424.4042453765869
6,22,1,0,3,5,"[4, 5]",False,Tutor,exclude,1.25,2.5799410343170166,434.3138904571533
7,22,1,0,3,5,"[4, 5, 7]",False,Recommend: 7,include,1.2999999523162842,22.58399486541748,460.82972264289856
8,22,1,0,3,5,"[2, 4, 5, 7]",False,Recommend: 2,include,1.3499999046325684,23.02388286590576,487.62181305885315
9,22,1,0,3,5,"[2, 4, 5, 7]",False,Recommend: 7,include,1.3999998569488525,16.186002016067505,507.5807375907898
10,22,1,0,3,5,"[2, 4, 5, 6, 7]",False,Recommend: 6,include,1.4499998092651367,16.02655553817749,527.3813426494598
11,22,1,0,3,5,"[2, 4, 5, 6, 7]",False,Recommend: 3,exclude,1.499999761581421,7.924369812011719,539.0993802547455
12,22,1,0,3,5,"[2, 4, 5, 6, 7]",False,Tutor,exclude,1.999999761581421,88.91346955299377,633.9313077926636
13,22,1,0,3,5,"[2, 4, 5, 6, 7]",False,Recommend: 3,exclude,2.049999713897705,25.399821996688843,663.1334226131439
14,22,1,0,3,5,"[2, 4, 6, 7]",True,Recommend: 5,exclude,2.0999996662139893,47.58252573013306,714.555342912674
15,22,1,0,3,5,"[2, 4, 6, 7]",False,Recommend: 3,exclude,23.009089708328247,26.53924322128296,744.8878905773163
16,22,1,1,5,3,[3],False,Recommend: 3,include,0.05000000074505806,40.795942068099976,93.3093466758728
17,22,1,1,5,3,[3],False,Recommend: 6,exclude,0.10000000149011612,16.841652154922485,113.94946694374084
18,22,1,1,5,3,"[3, 7]",False,Recommend: 7,include,0.15000000596046448,10.742514848709106,128.5755968093872
19,22,1,1,5,3,"[3, 7]",False,Tutor,exclude,0.6499999761581421,198.0799641609192,335.9722559452057
20,22,1,1,5,3,"[3, 7]",False,Tutor,exclude,1.149999976158142,3.2787914276123047,345.5124771595001
21,22,1,1,5,3,"[3, 5, 7]",False,Recommend: 5,include,1.1999999284744263,58.124983072280884,407.4559009075165
22,22,1,1,5,3,"[3, 5, 7]",False,Tutor,exclude,1.6999999284744263,113.91751337051392,528.7287113666534
23,22,1,1,5,3,"[3, 5, 7]",False,Recommend: 6,exclude,1.7499998807907104,44.78392744064331,577.2568550109863
24,22,1,1,5,3,"[3, 5, 7]",False,Recommend: 4,exclude,1.7999998331069946,8.309657096862793,589.2624413967133
25,22,1,1,5,3,"[3, 5, 7]",False,Recommend: 1,exclude,1.8499997854232788,25.807491302490234,618.9020190238953
26,22,1,1,5,3,"[3, 5, 6, 7]",False,Recommend: 6,include,1.899999737739563,38.057846784591675,660.8483793735504
27,22,1,1,5,3,"[3, 5, 6, 7]",False,Recommend: 0,exclude,1.9499996900558472,8.364803552627563,672.9614572525024
28,22,1,1,5,3,"[3, 5, 6, 7]",False,Recommend: 7,include,1.9999996423721313,10.554704427719116,687.2519500255585
29,22,1,1,5,3,"[3, 5, 6, 7]",False,Tutor,exclude,2.499999523162842,8.76344084739685,703.629222869873
30,22,1,1,5,3,"[3, 5, 6, 7]",False,Recommend: 3,include,2.549999475479126,68.33364868164062,775.6794021129608
31,22,1,1,5,3,"[3, 5, 6, 7]",False,Recommend: 5,include,4.822726726531982,12.776859283447266,792.3246536254883
32,22,1,2,4,4,[],False,Recommend: 0,exclude,0.05000000074505806,12.535269975662231,62.867881536483765
33,22,1,2,4,4,[7],False,Recommend: 7,include,0.10000000149011612,12.00110387802124,78.65360069274902
34,22,1,2,4,4,"[4, 7]",False,Recommend: 4,include,0.15000000596046448,25.339595317840576,107.8936402797699
35,22,1,2,4,4,"[4, 7]",False,Tutor,exclude,0.6499999761581421,9.625375747680664,124.54757905006409
36,22,1,2,4,4,"[4, 7]",False,Recommend: 1,exclude,0.699999988079071,9.927335739135742,138.25062680244446
37,22,1,2,4,4,"[4, 7]",False,Recommend: 3,exclude,0.75,14.016640424728394,156.00665712356567
38,22,1,2,4,4,"[4, 7]",False,Tutor,exclude,1.25,4.869653940200806,166.60493850708008
39,22,1,2,4,4,"[4, 6, 7]",False,Recommend: 6,include,1.2999999523162842,9.494349956512451,180.0183126926422
40,22,1,2,4,4,"[4, 5, 6, 7]",False,Recommend: 5,include,1.3499999046325684,26.06351637840271,209.87193512916565
41,22,1,2,4,4,"[4, 5, 6, 7]",False,Recommend: 1,exclude,1.3999998569488525,7.451291561126709,221.2949526309967
42,22,1,2,4,4,"[4, 5, 6, 7]",False,Recommend: 6,include,1.4499998092651367,29.14915943145752,254.1104760169983
43,22,1,2,4,4,"[4, 5, 6, 7]",False,Recommend: 5,include,1.499999761581421,23.03632879257202,280.90836238861084
44,22,1,2,4,4,"[4, 5, 6, 7]",False,Tutor,exclude,1.999999761581421,4.54532790184021,291.4248559474945
45,22,1,2,4,4,"[4, 5, 6, 7]",False,Recommend: 1,exclude,2.049999713897705,13.082328081130981,308.182656288147
46,22,1,2,4,4,"[4, 5, 6, 7]",False,Tutor,exclude,2.549999713897705,2.90549898147583,317.44744849205017
47,22,1,2,4,4,"[4, 5, 6, 7]",False,Recommend: 1,exclude,10.731817722320557,18.439093828201294,339.7108860015869
